count,cumulative proportion,cumulative unique words
82, 0.21753779888592756, 33211
83, 0.21858618903863886, 33223
84, 0.21964721039800933, 33235
85, 0.2208103340112081, 33248
86, 0.2216250468407247, 33257
87, 0.22309026681318866, 33273
88, 0.22429444184802974, 33286
89, 0.22513757489252947, 33295
90, 0.2258954472920798, 33303
91, 0.22694910044756575, 33314
92, 0.22753013595388766, 33320
93, 0.2285090544699735, 33330
94, 0.22959744344377217, 33341
95, 0.23039741986551973, 33349
96, 0.23100371778516, 33355
97, 0.23212684257727137, 33366
98, 0.2334678556842535, 33379
99, 0.23419730786882068, 33386
100, 0.2349341282572724, 33393
101, 0.2356783168496086, 33400
102, 0.2368593346722412, 33411
103, 0.23794351324382015, 33421
104, 0.23870980644780992, 33428
105, 0.23970451397221973, 33437
106, 0.2409318462192693, 33448
107, 0.2414949875161574, 33453
108, 0.24251811525555034, 33462
109, 0.2433212494789627, 33469
110, 0.2444791100893868, 33479
111, 0.24482962607417882, 33482
112, 0.24600853869570155, 33492
113, 0.246841145734652, 33499
114, 0.24804111036727333, 33509
115, 0.24876740475017572, 33515
116, 0.2498663197295237, 33524
117, 0.25085155384893915, 33532
118, 0.25234203623472146, 33544
119, 0.25346937142905257, 33553
120, 0.2543535558951946, 33560
121, 0.25524510856522115, 33567
122, 0.2557587776360275, 33571
123, 0.25705347631859266, 33581
124, 0.2579671336002728, 33588
125, 0.2588881590858374, 33595
126, 0.26008180811512915, 33604
127, 0.2612849305494153, 33613
128, 0.26249752638869583, 33622
129, 0.26276909733186804, 33624
130, 0.2640006399811373, 33633
131, 0.26469009334461713, 33638
132, 0.2655237529841225, 33644
133, 0.26594374060554, 33647
134, 0.2666489829773438, 33652
135, 0.26735948835192225, 33657
136, 0.2679321030538047, 33661
137, 0.2680763093298303, 33662
138, 0.2693836392190546, 33671
139, 0.26996888512759626, 33675
140, 0.2708530695937383, 33681
141, 0.2714467363067194, 33685
142, 0.2723435519795206, 33691
143, 0.2732466832556514, 33697
144, 0.27430770461502185, 33704
145, 0.2746129587759518, 33706
146, 0.2750739978190116, 33709
147, 0.27569292694531106, 33713
148, 0.2760044967095706, 33715
149, 0.27710235908836367, 33722
150, 0.27804969958780157, 33728
151, 0.27852652763918534, 33731
152, 0.2793265040609329, 33736
153, 0.27997069560055066, 33740
154, 0.2807811980278475, 33745
155, 0.28094435111386185, 33746
156, 0.2825864079795542, 33756
157, 0.28440424913792006, 33767
158, 0.28506949268863646, 33771
159, 0.2864084005945087, 33779
160, 0.2872504810384535, 33784
161, 0.2877588871064852, 33787
162, 0.287929408396384, 33788
163, 0.288615703958199, 33792
164, 0.2889609569402164, 33794
165, 0.2894819942149072, 33797
166, 0.2900061892912629, 33800
168, 0.29106721065063335, 33806
169, 0.29160087913198335, 33809
170, 0.29231664750933645, 33813
171, 0.29285663159401604, 33816
172, 0.2932187261849123, 33818
173, 0.29376502587292147, 33821
174, 0.2941313308660375, 33823
175, 0.2948681512544892, 33827
176, 0.2952386666498249, 33829
177, 0.29617021814093886, 33834
178, 0.2969196697360497, 33838
179, 0.29767333173338034, 33842
180, 0.29862067223281824, 33847
181, 0.2995732757350308, 33852
183, 0.3003437793412403, 33856
184, 0.30169952885599144, 33863
185, 0.3024784532666404, 33867
186, 0.30267423696985757, 33868
187, 0.30326474588117386, 33871
189, 0.30386157039581974, 33874
190, 0.3042615586066935, 33876
191, 0.30546783884264445, 33882
192, 0.3064783353753782, 33887
